"year"	"exp"	"block"	"fence"	"plot"	"treatment"	"subsidence"	"ALT"	"ALT.corrected"	"geometry"
2012	"CiPEHR"	"c"	5	"8"	"Soil Warming"	-0.20648193359375	-69.3	-89.948193359375	c(538116.050667494, 1101042.33191631)
2012	"CiPEHR"	"c"	6	"1"	"Air Warming"	-0.092041015625	-56	-65.2041015625	c(538135.096724586, 1101036.74136463)
2012	"CiPEHR"	"c"	6	"2"	"Control"	-0.10919189453125	-63.7	-74.619189453125	c(538131.96726414, 1101034.64109664)
2012	"CiPEHR"	"c"	6	"3"	"Air Warming"	-0.10595703125	-65.3	-75.895703125	c(538133.53420904, 1101033.12225322)
2012	"CiPEHR"	"c"	6	"4"	"Control"	-0.06939697265625	-55.3	-62.239697265625	c(538136.223924323, 1101035.13959845)
2012	"CiPEHR"	"c"	6	"5"	"Air + Soil Warming"	-0.17724609375	-68.3	-86.024609375	c(538127.657255438, 1101046.69304944)
2012	"CiPEHR"	"c"	6	"6"	"Soil Warming"	-0.16326904296875	-70	-86.326904296875	c(538130.022999495, 1101048.47681978)
2012	"CiPEHR"	"c"	6	"7"	"Air + Soil Warming"	-0.2138671875	-67.7	-89.08671875	c(538128.884934097, 1101050.26204674)
2012	"CiPEHR"	"c"	6	"8"	"Soil Warming"	-0.21185302734375	-67.3	-88.485302734375	c(538125.579799737, 1101049.24051726)
2012	"DryPEHR"	"a"	1	"a"	"Control"	-0.005859375	-59.3	-59.8859375	c(537941.929348974, 1100973.86823061)
2012	"DryPEHR"	"a"	1	"b"	"Drying"	-0.015625	-62.3	-63.8625	c(537943.757754855, 1100968.02610383)
2012	"DryPEHR"	"a"	1	"c"	"Warming"	-0.043701171875	-76.3	-80.6701171875	c(537936.554286654, 1100989.71518861)
2012	"DryPEHR"	"a"	1	"d"	"Drying + Warming"	-0.02484130859375	-61	-63.484130859375	c(537934.3180458, 1100988.89906236)
2012	"DryPEHR"	"a"	2	"a"	"Control"	-0.0101318359375	-60.7	-61.71318359375	c(537950.650111753, 1100980.40484843)
2012	"DryPEHR"	"a"	2	"b"	"Drying"	-0.02423095703125	-64	-66.423095703125	c(537956.454087259, 1100976.63359426)
2012	"DryPEHR"	"a"	2	"c"	"Warming"	-0.06561279296875	-102.3	-108.861279296875	c(537948.556510529, 1100996.42852332)
2012	"DryPEHR"	"a"	2	"d"	"Drying + Warming"	-0.03802490234375	-75.3	-79.102490234375	c(537946.583446615, 1100996.06893499)
2012	"DryPEHR"	"b"	3	"a"	"Control"	-0.016845703125	-57.3	-58.9845703125	c(538003.050355101, 1101103.56471526)
2012	"DryPEHR"	"b"	3	"b"	"Drying"	-0.042724609375	-60	-64.2724609375	c(537998.720505789, 1101105.86126043)
2012	"DryPEHR"	"b"	3	"c"	"Warming"	-0.04010009765625	-61.3	-65.310009765625	c(537996.481457292, 1101120.18205852)
2012	"DryPEHR"	"b"	3	"d"	"Drying + Warming"	-0.04779052734375	-67.3	-72.079052734375	c(537998.661221956, 1101121.24348623)
2012	"DryPEHR"	"b"	4	"a"	"Control"	-0.02557373046875	-67.3	-69.857373046875	c(538010.139106492, 1101115.89741201)
2012	"DryPEHR"	"b"	4	"b"	"Drying"	-0.0338134765625	-67	-70.38134765625	c(538015.157986813, 1101112.18877723)
2012	"DryPEHR"	"b"	4	"c"	"Warming"	-0.08331298828125	-69.7	-78.031298828125	c(538005.050264227, 1101129.55879632)
2012	"DryPEHR"	"b"	4	"d"	"Drying + Warming"	-0.08837890625	-63	-71.837890625	c(538007.697015119, 1101131.65693197)
2012	"DryPEHR"	"c"	5	"a"	"Control"	-0.02410888671875	-59	-61.410888671875	c(538121.243627226, 1101027.11613051)
2012	"DryPEHR"	"c"	5	"b"	"Drying"	-0.03570556640625	-51	-54.570556640625	c(538128.004359379, 1101025.021897)
2012	"DryPEHR"	"c"	5	"c"	"Warming"	-0.0321044921875	-56.7	-59.91044921875	c(538115.314418499, 1101045.41962533)
2012	"DryPEHR"	"c"	5	"d"	"Drying + Warming"	-0.0406494140625	-70.7	-74.76494140625	c(538118.182661611, 1101047.18678046)
2012	"DryPEHR"	"c"	6	"a"	"Control"	-0.029296875	-63.7	-66.6296875	c(538131.96726414, 1101034.64109664)
2012	"DryPEHR"	"c"	6	"b"	"Drying"	-0.01593017578125	-62.3	-63.893017578125	c(538136.508622195, 1101031.74292909)
2012	"DryPEHR"	"c"	6	"c"	"Warming"	-0.0394287109375	-64.3	-68.24287109375	c(538124.854156399, 1101051.21633866)
2012	"DryPEHR"	"c"	6	"d"	"Drying + Warming"	-0.0810546875	-69	-77.10546875	c(538126.839083497, 1101052.65010256)
2013	"CiPEHR"	"a"	1	"1"	"Air Warming"	0.02471923828125	-63.5	-61.028076171875	c(537945.061181286, 1100974.61034372)
2013	"CiPEHR"	"a"	1	"2"	"Control"	0.00848388671875	-58.3	-57.451611328125	c(537941.929348974, 1100973.86823061)
2013	"CiPEHR"	"a"	1	"3"	"Air Warming"	0.054443359375	-64.5	-59.0556640625	c(537943.972994247, 1100971.12857398)
2013	"CiPEHR"	"a"	1	"4"	"Control"	0.08465576171875	-64.8	-56.334423828125	c(537946.01920041, 1100973.05621906)
2013	"CiPEHR"	"a"	1	"5"	"Air + Soil Warming"	-0.18701171875	-79.7	-98.401171875	c(537937.519279393, 1100984.41905301)
2013	"CiPEHR"	"a"	1	"6"	"Soil Warming"	-0.12176513671875	-84.2	-96.376513671875	c(537940.038294997, 1100986.68937608)
2013	"CiPEHR"	"a"	1	"7"	"Air + Soil Warming"	-0.1507568359375	-68.7	-83.77568359375	c(537939.777848489, 1100988.59489566)
2013	"CiPEHR"	"a"	1	"8"	"Soil Warming"	-0.1357421875	-78.7	-92.27421875	c(537934.397313723, 1100985.82019829)
2013	"CiPEHR"	"a"	2	"1"	"Air Warming"	0.04754638671875	-60	-55.245361328125	c(537955.754577999, 1100981.00632174)
2013	"CiPEHR"	"a"	2	"2"	"Control"	0.055908203125	-59	-53.4091796875	c(537950.650111753, 1100980.40484843)
2013	"CiPEHR"	"a"	2	"3"	"Air Warming"	0.04119873046875	-66.5	-62.380126953125	c(537952.547265501, 1100977.13753647)
2013	"CiPEHR"	"a"	2	"4"	"Control"	0.04351806640625	-70.7	-66.348193359375	c(537954.089235183, 1100978.60908617)
2013	"CiPEHR"	"a"	2	"5"	"Air + Soil Warming"	-0.10357666015625	-82.8	-93.157666015625	c(537948.749497949, 1100991.02155357)
2013	"CiPEHR"	"a"	2	"6"	"Soil Warming"	-0.18048095703125	-85.5	-103.548095703125	c(537951.036506826, 1100992.99910862)
2013	"CiPEHR"	"a"	2	"7"	"Air + Soil Warming"	-0.2342529296875	-79	-102.42529296875	c(537950.525723053, 1100994.79675347)
2013	"CiPEHR"	"a"	2	"8"	"Soil Warming"	-0.167724609375	-83	-99.7724609375	c(537946.957231526, 1100993.20512038)
2013	"CiPEHR"	"b"	3	"1"	"Air Warming"	-0.09613037109375	-63.8	-73.413037109375	c(538005.299268935, 1101105.21851765)
2013	"CiPEHR"	"b"	3	"2"	"Control"	0.0242919921875	-62.7	-60.27080078125	c(538003.050355101, 1101103.56471526)
2013	"CiPEHR"	"b"	3	"3"	"Air Warming"	0.0989990234375	-64.7	-54.80009765625	c(538004.461150603, 1101101.89084927)
2013	"CiPEHR"	"b"	3	"4"	"Control"	0.0068359375	-68	-67.31640625	c(538006.442928634, 1101103.70735623)
2013	"CiPEHR"	"b"	3	"5"	"Air + Soil Warming"	-0.14422607421875	-77.5	-91.922607421875	c(537998.353493803, 1101115.58373368)
2013	"CiPEHR"	"b"	3	"6"	"Soil Warming"	-0.1094970703125	-89.3	-100.24970703125	c(538000.689857765, 1101117.20427668)
2013	"CiPEHR"	"b"	3	"7"	"Air + Soil Warming"	-0.1094970703125	-66.5	-77.44970703125	c(537999.18546028, 1101118.87000626)
2013	"CiPEHR"	"b"	3	"8"	"Soil Warming"	-0.08990478515625	-74.2	-83.190478515625	c(537996.682438232, 1101118.08261855)
2013	"CiPEHR"	"b"	4	"1"	"Air Warming"	-0.14569091796875	-64.7	-79.269091796875	c(538013.765519635, 1101118.29601026)
2013	"CiPEHR"	"b"	4	"2"	"Control"	-0.017822265625	-73	-74.7822265625	c(538010.139106492, 1101115.89741201)
2013	"CiPEHR"	"b"	4	"3"	"Air Warming"	-0.02911376953125	-59.2	-62.111376953125	c(538011.381537863, 1101114.14523723)
2013	"CiPEHR"	"b"	4	"4"	"Control"	-0.10791015625	-65.2	-75.991015625	c(538014.718015708, 1101116.26857993)
2013	"CiPEHR"	"b"	4	"5"	"Air + Soil Warming"	-0.30804443359375	-73.2	-104.004443359375	c(538007.465860463, 1101125.65395105)
2013	"CiPEHR"	"b"	4	"6"	"Soil Warming"	-0.3060302734375	-69	-99.60302734375	c(538009.587437515, 1101127.56577935)
2013	"CiPEHR"	"b"	4	"7"	"Air + Soil Warming"	-0.3895263671875	-66.7	-105.65263671875	c(538007.857585791, 1101129.37453058)
2013	"CiPEHR"	"b"	4	"8"	"Soil Warming"	-0.262939453125	-74.7	-100.9939453125	c(538006.242787725, 1101128.22987825)
2013	"CiPEHR"	"c"	5	"1"	"Air Warming"	-0.0450439453125	-62.5	-67.00439453125	c(538123.833788578, 1101029.12017965)
2013	"CiPEHR"	"c"	5	"2"	"Control"	-0.06640625	-60.5	-67.140625	c(538121.243627226, 1101027.11613051)
2013	"CiPEHR"	"c"	5	"3"	"Air Warming"	-0.08758544921875	-61.5	-70.258544921875	c(538123.12392811, 1101025.50355211)
2013	"CiPEHR"	"c"	5	"4"	"Control"	-0.08551025390625	-63.8	-72.351025390625	c(538125.030967066, 1101027.84379265)
2013	"CiPEHR"	"c"	5	"5"	"Air + Soil Warming"	-0.32110595703125	-67	-99.110595703125	c(538117.307977279, 1101039.86426493)
2013	"CiPEHR"	"c"	5	"6"	"Soil Warming"	-0.32373046875	-76.5	-108.873046875	c(538119.083499313, 1101041.25538645)
2013	"CiPEHR"	"c"	5	"7"	"Air + Soil Warming"	-0.26678466796875	-62	-88.678466796875	c(538117.914903209, 1101043.33206615)
2013	"CiPEHR"	"c"	5	"8"	"Soil Warming"	-0.23919677734375	-67.5	-91.419677734375	c(538116.050667494, 1101042.33191631)
2013	"CiPEHR"	"c"	6	"1"	"Air Warming"	-0.12164306640625	-51.5	-63.664306640625	c(538135.096724586, 1101036.74136463)
2013	"CiPEHR"	"c"	6	"2"	"Control"	-0.13848876953125	-60.3	-74.148876953125	c(538131.96726414, 1101034.64109664)
2013	"CiPEHR"	"c"	6	"3"	"Air Warming"	-0.12359619140625	-61.7	-74.059619140625	c(538133.53420904, 1101033.12225322)
2013	"CiPEHR"	"c"	6	"4"	"Control"	-0.09417724609375	-51.8	-61.217724609375	c(538136.223924323, 1101035.13959845)
2013	"CiPEHR"	"c"	6	"5"	"Air + Soil Warming"	-0.22613525390625	-69.8	-92.413525390625	c(538127.657255438, 1101046.69304944)
2013	"CiPEHR"	"c"	6	"6"	"Soil Warming"	-0.21466064453125	-72.5	-93.966064453125	c(538130.022999495, 1101048.47681978)
2013	"CiPEHR"	"c"	6	"7"	"Air + Soil Warming"	-0.28448486328125	-67	-95.448486328125	c(538128.884934097, 1101050.26204674)
2013	"CiPEHR"	"c"	6	"8"	"Soil Warming"	-0.2474365234375	-67.3	-92.04365234375	c(538125.579799737, 1101049.24051726)
2013	"DryPEHR"	"a"	1	"a"	"Control"	-0.01171875	-58.3	-59.471875	c(537941.929348974, 1100973.86823061)
2013	"DryPEHR"	"a"	1	"b"	"Drying"	-0.03131103515625	-59.2	-62.331103515625	c(537943.757754855, 1100968.02610383)
2013	"DryPEHR"	"a"	1	"c"	"Warming"	-0.08746337890625	-77.2	-85.946337890625	c(537936.554286654, 1100989.71518861)
2013	"DryPEHR"	"a"	1	"d"	"Drying + Warming"	-0.0496826171875	-59	-63.96826171875	c(537934.3180458, 1100988.89906236)
2013	"DryPEHR"	"a"	2	"a"	"Control"	-0.020263671875	-59	-61.0263671875	c(537950.650111753, 1100980.40484843)
2013	"DryPEHR"	"a"	2	"b"	"Drying"	-0.0484619140625	-71.3	-76.14619140625	c(537956.454087259, 1100976.63359426)
2013	"DryPEHR"	"a"	2	"c"	"Warming"	-0.13116455078125	-106.5	-119.616455078125	c(537948.556510529, 1100996.42852332)
2013	"DryPEHR"	"a"	2	"d"	"Drying + Warming"	-0.0760498046875	-79.2	-86.80498046875	c(537946.583446615, 1100996.06893499)
2013	"DryPEHR"	"b"	3	"a"	"Control"	-0.03363037109375	-62.7	-66.063037109375	c(538003.050355101, 1101103.56471526)
2013	"DryPEHR"	"b"	3	"b"	"Drying"	-0.08538818359375	-63.5	-72.038818359375	c(537998.720505789, 1101105.86126043)
2013	"DryPEHR"	"b"	3	"c"	"Warming"	-0.08013916015625	-67.3	-75.313916015625	c(537996.481457292, 1101120.18205852)
2013	"DryPEHR"	"b"	3	"d"	"Drying + Warming"	-0.09564208984375	-72.7	-82.264208984375	c(537998.661221956, 1101121.24348623)
2013	"DryPEHR"	"b"	4	"a"	"Control"	-0.05120849609375	-73	-78.120849609375	c(538010.139106492, 1101115.89741201)
2013	"DryPEHR"	"b"	4	"b"	"Drying"	-0.06756591796875	-72.7	-79.456591796875	c(538015.157986813, 1101112.18877723)
2013	"DryPEHR"	"b"	4	"c"	"Warming"	-0.1666259765625	-73.5	-90.16259765625	c(538005.050264227, 1101129.55879632)
2013	"DryPEHR"	"b"	4	"d"	"Drying + Warming"	-0.17669677734375	-68.2	-85.869677734375	c(538007.697015119, 1101131.65693197)
2013	"DryPEHR"	"c"	5	"a"	"Control"	-0.04815673828125	-60.5	-65.315673828125	c(538121.243627226, 1101027.11613051)
2013	"DryPEHR"	"c"	5	"b"	"Drying"	-0.07135009765625	-58.3	-65.435009765625	c(538128.004359379, 1101025.021897)
2013	"DryPEHR"	"c"	5	"c"	"Warming"	-0.06427001953125	-54.5	-60.927001953125	c(538115.314418499, 1101045.41962533)
2013	"DryPEHR"	"c"	5	"d"	"Drying + Warming"	-0.081298828125	-65.3	-73.4298828125	c(538118.182661611, 1101047.18678046)
2013	"DryPEHR"	"c"	6	"a"	"Control"	-0.05859375	-60.3	-66.159375	c(538131.96726414, 1101034.64109664)
2013	"DryPEHR"	"c"	6	"b"	"Drying"	-0.03192138671875	-57.3	-60.492138671875	c(538136.508622195, 1101031.74292909)
2013	"DryPEHR"	"c"	6	"c"	"Warming"	-0.078857421875	-61.8	-69.6857421875	c(538124.854156399, 1101051.21633866)
2013	"DryPEHR"	"c"	6	"d"	"Drying + Warming"	-0.16217041015625	-70.3	-86.517041015625	c(538126.839083497, 1101052.65010256)
2014	"CiPEHR"	"a"	1	"1"	"Air Warming"	0.019775390625	-63.5	-61.5224609375	c(537945.061181286, 1100974.61034372)
2014	"CiPEHR"	"a"	1	"2"	"Control"	0.002685546875	-60.5	-60.2314453125	c(537941.929348974, 1100973.86823061)
2014	"CiPEHR"	"a"	1	"3"	"Air Warming"	0.0404052734375	-75.25	-71.20947265625	c(537943.972994247, 1100971.12857398)
2014	"CiPEHR"	"a"	1	"4"	"Control"	0.07421875	-73.5	-66.078125	c(537946.01920041, 1100973.05621906)
2014	"CiPEHR"	"a"	1	"5"	"Air + Soil Warming"	-0.2667236328125	-90.25	-116.92236328125	c(537937.519279393, 1100984.41905301)
2014	"CiPEHR"	"a"	1	"6"	"Soil Warming"	-0.2021484375	-79	-99.21484375	c(537940.038294997, 1100986.68937608)
2014	"CiPEHR"	"a"	1	"7"	"Air + Soil Warming"	-0.2208251953125	-96	-118.08251953125	c(537939.777848489, 1100988.59489566)
2014	"CiPEHR"	"a"	1	"8"	"Soil Warming"	-0.18243408203125	-79.25	-97.493408203125	c(537934.397313723, 1100985.82019829)
2014	"CiPEHR"	"a"	2	"1"	"Air Warming"	0.03179931640625	-63.5	-60.320068359375	c(537955.754577999, 1100981.00632174)
2014	"CiPEHR"	"a"	2	"2"	"Control"	0.04571533203125	-61.5	-56.928466796875	c(537950.650111753, 1100980.40484843)
2014	"CiPEHR"	"a"	2	"3"	"Air Warming"	0.0321044921875	-59	-55.78955078125	c(537952.547265501, 1100977.13753647)
2014	"CiPEHR"	"a"	2	"4"	"Control"	0.0289306640625	-60	-57.10693359375	c(537954.089235183, 1100978.60908617)
2014	"CiPEHR"	"a"	2	"5"	"Air + Soil Warming"	-0.1505126953125	-94	-109.05126953125	c(537948.749497949, 1100991.02155357)
2014	"CiPEHR"	"a"	2	"6"	"Soil Warming"	-0.2529296875	-93.25	-118.54296875	c(537951.036506826, 1100992.99910862)
2014	"CiPEHR"	"a"	2	"7"	"Air + Soil Warming"	-0.32550048828125	-92.75	-125.300048828125	c(537950.525723053, 1100994.79675347)
2014	"CiPEHR"	"a"	2	"8"	"Soil Warming"	-0.22967529296875	-85.25	-108.217529296875	c(537946.957231526, 1100993.20512038)
2014	"CiPEHR"	"b"	3	"1"	"Air Warming"	-0.1187744140625	-69	-80.87744140625	c(538005.299268935, 1101105.21851765)
2014	"CiPEHR"	"b"	3	"2"	"Control"	0.00750732421875	-60.25	-59.499267578125	c(538003.050355101, 1101103.56471526)
2014	"CiPEHR"	"b"	3	"3"	"Air Warming"	0.09490966796875	-67	-57.509033203125	c(538004.461150603, 1101101.89084927)
2014	"CiPEHR"	"b"	3	"4"	"Control"	-0.0084228515625	-68.5	-69.34228515625	c(538006.442928634, 1101103.70735623)
2014	"CiPEHR"	"b"	3	"5"	"Air + Soil Warming"	-0.2310791015625	-88	-111.10791015625	c(537998.353493803, 1101115.58373368)
2014	"CiPEHR"	"b"	3	"6"	"Soil Warming"	-0.17706298828125	-87.75	-105.456298828125	c(538000.689857765, 1101117.20427668)
2014	"CiPEHR"	"b"	3	"7"	"Air + Soil Warming"	-0.17706298828125	-79.75	-97.456298828125	c(537999.18546028, 1101118.87000626)
2014	"CiPEHR"	"b"	3	"8"	"Soil Warming"	-0.1539306640625	-85.75	-101.14306640625	c(537996.682438232, 1101118.08261855)
2014	"CiPEHR"	"b"	4	"1"	"Air Warming"	-0.167236328125	-65	-81.7236328125	c(538013.765519635, 1101118.29601026)
2014	"CiPEHR"	"b"	4	"2"	"Control"	-0.04339599609375	-67.25	-71.589599609375	c(538010.139106492, 1101115.89741201)
2014	"CiPEHR"	"b"	4	"3"	"Air Warming"	-0.048095703125	-53.25	-58.0595703125	c(538011.381537863, 1101114.14523723)
2014	"CiPEHR"	"b"	4	"4"	"Control"	-0.12841796875	-68.25	-81.091796875	c(538014.718015708, 1101116.26857993)
2014	"CiPEHR"	"b"	4	"5"	"Air + Soil Warming"	-0.39947509765625	-77.75	-117.697509765625	c(538007.465860463, 1101125.65395105)
2014	"CiPEHR"	"b"	4	"6"	"Soil Warming"	-0.40557861328125	-85	-125.557861328125	c(538009.587437515, 1101127.56577935)
2014	"CiPEHR"	"b"	4	"7"	"Air + Soil Warming"	-0.49493408203125	-79.75	-129.243408203125	c(538007.857585791, 1101129.37453058)
2014	"CiPEHR"	"b"	4	"8"	"Soil Warming"	-0.342041015625	-82.25	-116.4541015625	c(538006.242787725, 1101128.22987825)
2014	"CiPEHR"	"c"	5	"1"	"Air Warming"	-0.062744140625	-68.75	-75.0244140625	c(538123.833788578, 1101029.12017965)
2014	"CiPEHR"	"c"	5	"2"	"Control"	-0.0904541015625	-61.75	-70.79541015625	c(538121.243627226, 1101027.11613051)
2014	"CiPEHR"	"c"	5	"3"	"Air Warming"	-0.09716796875	-64.25	-73.966796875	c(538123.12392811, 1101025.50355211)
2014	"CiPEHR"	"c"	5	"4"	"Control"	-0.1192626953125	-63.75	-75.67626953125	c(538125.030967066, 1101027.84379265)
2014	"CiPEHR"	"c"	5	"5"	"Air + Soil Warming"	-0.3917236328125	-71.5	-110.67236328125	c(538117.307977279, 1101039.86426493)
2014	"CiPEHR"	"c"	5	"6"	"Soil Warming"	-0.39422607421875	-68.25	-107.672607421875	c(538119.083499313, 1101041.25538645)
2014	"CiPEHR"	"c"	5	"7"	"Air + Soil Warming"	-0.326904296875	-80.5	-113.1904296875	c(538117.914903209, 1101043.33206615)
2014	"CiPEHR"	"c"	5	"8"	"Soil Warming"	-0.2718505859375	-81.5	-108.68505859375	c(538116.050667494, 1101042.33191631)
2014	"CiPEHR"	"c"	6	"1"	"Air Warming"	-0.15130615234375	-59	-74.130615234375	c(538135.096724586, 1101036.74136463)
2014	"CiPEHR"	"c"	6	"2"	"Control"	-0.16778564453125	-65.25	-82.028564453125	c(538131.96726414, 1101034.64109664)
2014	"CiPEHR"	"c"	6	"3"	"Air Warming"	-0.14117431640625	-60	-74.117431640625	c(538133.53420904, 1101033.12225322)
2014	"CiPEHR"	"c"	6	"4"	"Control"	-0.118896484375	-67.75	-79.6396484375	c(538136.223924323, 1101035.13959845)
2014	"CiPEHR"	"c"	6	"5"	"Air + Soil Warming"	-0.27508544921875	-85	-112.508544921875	c(538127.657255438, 1101046.69304944)
2014	"CiPEHR"	"c"	6	"6"	"Soil Warming"	-0.26605224609375	-86.5	-113.105224609375	c(538130.022999495, 1101048.47681978)
2014	"CiPEHR"	"c"	6	"7"	"Air + Soil Warming"	-0.35516357421875	-76.25	-111.766357421875	c(538128.884934097, 1101050.26204674)
2014	"CiPEHR"	"c"	6	"8"	"Soil Warming"	-0.28302001953125	-82	-110.302001953125	c(538125.579799737, 1101049.24051726)
2014	"DryPEHR"	"a"	1	"a"	"Control"	-0.01751708984375	-60.5	-62.251708984375	c(537941.929348974, 1100973.86823061)
2014	"DryPEHR"	"a"	1	"b"	"Drying"	-0.0469970703125	-63.5	-68.19970703125	c(537943.757754855, 1100968.02610383)
2014	"DryPEHR"	"a"	1	"c"	"Warming"	-0.13116455078125	-79.5	-92.616455078125	c(537936.554286654, 1100989.71518861)
2014	"DryPEHR"	"a"	1	"d"	"Drying + Warming"	-0.074462890625	-74.5	-81.9462890625	c(537934.3180458, 1100988.89906236)
2014	"DryPEHR"	"a"	2	"a"	"Control"	-0.03045654296875	-61.5	-64.545654296875	c(537950.650111753, 1100980.40484843)
2014	"DryPEHR"	"a"	2	"b"	"Drying"	-0.07275390625	-70	-77.275390625	c(537956.454087259, 1100976.63359426)
2014	"DryPEHR"	"a"	2	"c"	"Warming"	-0.19677734375	-106.75	-126.427734375	c(537948.556510529, 1100996.42852332)
2014	"DryPEHR"	"a"	2	"d"	"Drying + Warming"	-0.114013671875	-94	-105.4013671875	c(537946.583446615, 1100996.06893499)
2014	"DryPEHR"	"b"	3	"a"	"Control"	-0.0504150390625	-60.25	-65.29150390625	c(538003.050355101, 1101103.56471526)
2014	"DryPEHR"	"b"	3	"b"	"Drying"	-0.12811279296875	-74.75	-87.561279296875	c(537998.720505789, 1101105.86126043)
2014	"DryPEHR"	"b"	3	"c"	"Warming"	-0.1202392578125	-62.75	-74.77392578125	c(537996.481457292, 1101120.18205852)
2014	"DryPEHR"	"b"	3	"d"	"Drying + Warming"	-0.1434326171875	-89.25	-103.59326171875	c(537998.661221956, 1101121.24348623)
2014	"DryPEHR"	"b"	4	"a"	"Control"	-0.0767822265625	-67.25	-74.92822265625	c(538010.139106492, 1101115.89741201)
2014	"DryPEHR"	"b"	4	"b"	"Drying"	-0.10137939453125	-88.25	-98.387939453125	c(538015.157986813, 1101112.18877723)
2014	"DryPEHR"	"b"	4	"c"	"Warming"	-0.24993896484375	-79.25	-104.243896484375	c(538005.050264227, 1101129.55879632)
2014	"DryPEHR"	"b"	4	"d"	"Drying + Warming"	-0.26507568359375	-68.25	-94.757568359375	c(538007.697015119, 1101131.65693197)
2014	"DryPEHR"	"c"	5	"a"	"Control"	-0.07220458984375	-61.75	-68.970458984375	c(538121.243627226, 1101027.11613051)
2014	"DryPEHR"	"c"	5	"b"	"Drying"	-0.10699462890625	-53.5	-64.199462890625	c(538128.004359379, 1101025.021897)
2014	"DryPEHR"	"c"	5	"c"	"Warming"	-0.096435546875	-53.75	-63.3935546875	c(538115.314418499, 1101045.41962533)
2014	"DryPEHR"	"c"	5	"d"	"Drying + Warming"	-0.1219482421875	-72.25	-84.44482421875	c(538118.182661611, 1101047.18678046)
2014	"DryPEHR"	"c"	6	"a"	"Control"	-0.087890625	-65.25	-74.0390625	c(538131.96726414, 1101034.64109664)
2014	"DryPEHR"	"c"	6	"b"	"Drying"	-0.0478515625	-68	-72.78515625	c(538136.508622195, 1101031.74292909)
2014	"DryPEHR"	"c"	6	"c"	"Warming"	-0.11834716796875	-69.25	-81.084716796875	c(538124.854156399, 1101051.21633866)
2014	"DryPEHR"	"c"	6	"d"	"Drying + Warming"	-0.2432861328125	-80.25	-104.57861328125	c(538126.839083497, 1101052.65010256)
2015	"CiPEHR"	"a"	1	"1"	"Air Warming"	0.01483154296875	-72	-70.516845703125	c(537945.061181286, 1100974.61034372)
2015	"CiPEHR"	"a"	1	"2"	"Control"	-0.003173828125	-69.75	-70.0673828125	c(537941.929348974, 1100973.86823061)
2015	"CiPEHR"	"a"	1	"3"	"Air Warming"	0.02630615234375	-76.5	-73.869384765625	c(537943.972994247, 1100971.12857398)
2015	"CiPEHR"	"a"	1	"4"	"Control"	0.063720703125	-73.25	-66.8779296875	c(537946.01920041, 1100973.05621906)
2015	"CiPEHR"	"a"	1	"5"	"Air + Soil Warming"	-0.346435546875	-111.5	-146.1435546875	c(537937.519279393, 1100984.41905301)
2015	"CiPEHR"	"a"	1	"6"	"Soil Warming"	-0.282470703125	-87	-115.2470703125	c(537940.038294997, 1100986.68937608)
2015	"CiPEHR"	"a"	1	"7"	"Air + Soil Warming"	-0.29083251953125	-112	-141.083251953125	c(537939.777848489, 1100988.59489566)
2015	"CiPEHR"	"a"	1	"8"	"Soil Warming"	-0.22918701171875	-104.5	-127.418701171875	c(537934.397313723, 1100985.82019829)
2015	"CiPEHR"	"a"	2	"1"	"Air Warming"	0.0159912109375	-70	-68.40087890625	c(537955.754577999, 1100981.00632174)
2015	"CiPEHR"	"a"	2	"2"	"Control"	0.03558349609375	-59.75	-56.191650390625	c(537950.650111753, 1100980.40484843)
2015	"CiPEHR"	"a"	2	"3"	"Air Warming"	0.02301025390625	-63.75	-61.448974609375	c(537952.547265501, 1100977.13753647)
2015	"CiPEHR"	"a"	2	"4"	"Control"	0.01434326171875	-62	-60.565673828125	c(537954.089235183, 1100978.60908617)
2015	"CiPEHR"	"a"	2	"5"	"Air + Soil Warming"	-0.197509765625	-99.5	-119.2509765625	c(537948.749497949, 1100991.02155357)
2015	"CiPEHR"	"a"	2	"6"	"Soil Warming"	-0.325439453125	-103.5	-136.0439453125	c(537951.036506826, 1100992.99910862)
2015	"CiPEHR"	"a"	2	"7"	"Air + Soil Warming"	-0.41680908203125	-91.25	-132.930908203125	c(537950.525723053, 1100994.79675347)
2015	"CiPEHR"	"a"	2	"8"	"Soil Warming"	-0.29168701171875	-86.5	-115.668701171875	c(537946.957231526, 1100993.20512038)
2015	"CiPEHR"	"b"	3	"1"	"Air Warming"	-0.1414794921875	-71	-85.14794921875	c(538005.299268935, 1101105.21851765)
2015	"CiPEHR"	"b"	3	"2"	"Control"	-0.00933837890625	-66	-66.933837890625	c(538003.050355101, 1101103.56471526)
2015	"CiPEHR"	"b"	3	"3"	"Air Warming"	0.0908203125	-69	-59.91796875	c(538004.461150603, 1101101.89084927)
2015	"CiPEHR"	"b"	3	"4"	"Control"	-0.02362060546875	-69.75	-72.112060546875	c(538006.442928634, 1101103.70735623)
2015	"CiPEHR"	"b"	3	"5"	"Air + Soil Warming"	-0.31793212890625	-101.75	-133.543212890625	c(537998.353493803, 1101115.58373368)
2015	"CiPEHR"	"b"	3	"6"	"Soil Warming"	-0.24462890625	-85.5	-109.962890625	c(538000.689857765, 1101117.20427668)
