"year"	"exp"	"block"	"fence"	"plot"	"treatment"	"subsidence"	"ALT"	"ALT.corrected"	"geometry"
2009	"CiPEHR"	"c"	6	"6"	"Soil Warming"	0	-54.3	-54.3	c(538130.022999495, 1101048.47681978)
2009	"CiPEHR"	"c"	6	"7"	"Air + Soil Warming"	0	-55	-55	c(538128.884934097, 1101050.26204674)
2009	"CiPEHR"	"c"	6	"8"	"Soil Warming"	0	-53	-53	c(538125.579799737, 1101049.24051726)
2010	"CiPEHR"	"a"	1	"1"	"Air Warming"	0.01727294921875	-56.3	-54.572705078125	c(537945.061181286, 1100974.61034372)
2010	"CiPEHR"	"a"	1	"2"	"Control"	0.01007080078125	-55.7	-54.692919921875	c(537941.929348974, 1100973.86823061)
2010	"CiPEHR"	"a"	1	"3"	"Air Warming"	0.04132080078125	-60	-55.867919921875	c(537943.972994247, 1100971.12857398)
2010	"CiPEHR"	"a"	1	"4"	"Control"	0.05279541015625	-59	-53.720458984375	c(537946.01920041, 1100973.05621906)
2010	"CiPEHR"	"a"	1	"5"	"Air + Soil Warming"	-0.0137939453125	-62	-63.37939453125	c(537937.519279393, 1100984.41905301)
2010	"CiPEHR"	"a"	1	"6"	"Soil Warming"	0.01947021484375	-68.3	-66.352978515625	c(537940.038294997, 1100986.68937608)
2010	"CiPEHR"	"a"	1	"7"	"Air + Soil Warming"	-0.00537109375	-67	-67.537109375	c(537939.777848489, 1100988.59489566)
2010	"CiPEHR"	"a"	1	"8"	"Soil Warming"	-0.0211181640625	-76.3	-78.41181640625	c(537934.397313723, 1100985.82019829)
2010	"CiPEHR"	"a"	2	"1"	"Air Warming"	0.03955078125	-56	-52.044921875	c(537955.754577999, 1100981.00632174)
2010	"CiPEHR"	"a"	2	"2"	"Control"	0.0380859375	-60.3	-56.49140625	c(537950.650111753, 1100980.40484843)
2010	"CiPEHR"	"a"	2	"3"	"Air Warming"	0.02972412109375	-58.3	-55.327587890625	c(537952.547265501, 1100977.13753647)
2010	"CiPEHR"	"a"	2	"4"	"Control"	0.03631591796875	-59.7	-56.068408203125	c(537954.089235183, 1100978.60908617)
2010	"CiPEHR"	"a"	2	"5"	"Air + Soil Warming"	-0.00482177734375	-64.7	-65.182177734375	c(537948.749497949, 1100991.02155357)
2010	"CiPEHR"	"a"	2	"6"	"Soil Warming"	-0.01776123046875	-68.3	-70.076123046875	c(537951.036506826, 1100992.99910862)
2010	"CiPEHR"	"a"	2	"7"	"Air + Soil Warming"	-0.02581787109375	-63.3	-65.881787109375	c(537950.525723053, 1100994.79675347)
2010	"CiPEHR"	"a"	2	"8"	"Soil Warming"	-0.02191162109375	-72.7	-74.891162109375	c(537946.957231526, 1100993.20512038)
2010	"CiPEHR"	"b"	3	"1"	"Air Warming"	-0.025390625	-60.3	-62.8390625	c(538005.299268935, 1101105.21851765)
2010	"CiPEHR"	"b"	3	"2"	"Control"	0.02899169921875	-53.7	-50.800830078125	c(538003.050355101, 1101103.56471526)
2010	"CiPEHR"	"b"	3	"3"	"Air Warming"	0.0535888671875	-62.3	-56.94111328125	c(538004.461150603, 1101101.89084927)
2010	"CiPEHR"	"b"	3	"4"	"Control"	0.0186767578125	-61.7	-59.83232421875	c(538006.442928634, 1101103.70735623)
2010	"CiPEHR"	"b"	3	"5"	"Air + Soil Warming"	0.0147705078125	-60.7	-59.22294921875	c(537998.353493803, 1101115.58373368)
2010	"CiPEHR"	"b"	3	"6"	"Soil Warming"	0.0128173828125	-60	-58.71826171875	c(538000.689857765, 1101117.20427668)
2010	"CiPEHR"	"b"	3	"7"	"Air + Soil Warming"	0.0128173828125	-59.3	-58.01826171875	c(537999.18546028, 1101118.87000626)
2010	"CiPEHR"	"b"	3	"8"	"Soil Warming"	0.01898193359375	-69	-67.101806640625	c(537996.682438232, 1101118.08261855)
2010	"CiPEHR"	"b"	4	"1"	"Air Warming"	-0.05126953125	-58.7	-63.826953125	c(538013.765519635, 1101118.29601026)
2010	"CiPEHR"	"b"	4	"2"	"Control"	0.0167236328125	-60.3	-58.62763671875	c(538010.139106492, 1101115.89741201)
2010	"CiPEHR"	"b"	4	"3"	"Air Warming"	0.00439453125	-57.3	-56.860546875	c(538011.381537863, 1101114.14523723)
2010	"CiPEHR"	"b"	4	"4"	"Control"	-0.033447265625	-59.3	-62.6447265625	c(538014.718015708, 1101116.26857993)
2010	"CiPEHR"	"b"	4	"5"	"Air + Soil Warming"	-0.0626220703125	-55	-61.26220703125	c(538007.465860463, 1101125.65395105)
2010	"CiPEHR"	"b"	4	"6"	"Soil Warming"	-0.05340576171875	-56.7	-62.040576171875	c(538009.587437515, 1101127.56577935)
2010	"CiPEHR"	"b"	4	"7"	"Air + Soil Warming"	-0.08941650390625	-61.7	-70.641650390625	c(538007.857585791, 1101129.37453058)
2010	"CiPEHR"	"b"	4	"8"	"Soil Warming"	-0.0523681640625	-63.3	-68.53681640625	c(538006.242787725, 1101128.22987825)
2010	"CiPEHR"	"c"	5	"1"	"Air Warming"	-0.00482177734375	-58	-58.482177734375	c(538123.833788578, 1101029.12017965)
2010	"CiPEHR"	"c"	5	"2"	"Control"	-0.0091552734375	-52.3	-53.21552734375	c(538121.243627226, 1101027.11613051)
2010	"CiPEHR"	"c"	5	"3"	"Air Warming"	-0.03411865234375	-57	-60.411865234375	c(538123.12392811, 1101025.50355211)
2010	"CiPEHR"	"c"	5	"4"	"Control"	-0.009033203125	-59	-59.9033203125	c(538125.030967066, 1101027.84379265)
2010	"CiPEHR"	"c"	5	"5"	"Air + Soil Warming"	-0.09002685546875	-62.7	-71.702685546875	c(538117.307977279, 1101039.86426493)
2010	"CiPEHR"	"c"	5	"6"	"Soil Warming"	-0.0914306640625	-62	-71.14306640625	c(538119.083499313, 1101041.25538645)
2010	"CiPEHR"	"c"	5	"7"	"Air + Soil Warming"	-0.0732421875	-56.7	-64.02421875	c(538117.914903209, 1101043.33206615)
2010	"CiPEHR"	"c"	5	"8"	"Soil Warming"	-0.08685302734375	-64	-72.685302734375	c(538116.050667494, 1101042.33191631)
2010	"CiPEHR"	"c"	6	"1"	"Air Warming"	-0.03118896484375	-53.7	-56.818896484375	c(538135.096724586, 1101036.74136463)
2010	"CiPEHR"	"c"	6	"2"	"Control"	-0.03997802734375	-61.3	-65.297802734375	c(538131.96726414, 1101034.64109664)
2010	"CiPEHR"	"c"	6	"3"	"Air Warming"	-0.04412841796875	-57.7	-62.112841796875	c(538133.53420904, 1101033.12225322)
2010	"CiPEHR"	"c"	6	"4"	"Control"	-0.0223388671875	-57.3	-59.53388671875	c(538136.223924323, 1101035.13959845)
2010	"CiPEHR"	"c"	6	"5"	"Air + Soil Warming"	-0.06414794921875	-67	-73.414794921875	c(538127.657255438, 1101046.69304944)
2010	"CiPEHR"	"c"	6	"6"	"Soil Warming"	-0.05596923828125	-64.3	-69.896923828125	c(538130.022999495, 1101048.47681978)
2010	"CiPEHR"	"c"	6	"7"	"Air + Soil Warming"	-0.07159423828125	-62.7	-69.859423828125	c(538128.884934097, 1101050.26204674)
2010	"CiPEHR"	"c"	6	"8"	"Soil Warming"	-0.08819580078125	-60.3	-69.119580078125	c(538125.579799737, 1101049.24051726)
2011	"CiPEHR"	"a"	1	"1"	"Air Warming"	0.03460693359375	-55.3	-51.839306640625	c(537945.061181286, 1100974.61034372)
2011	"CiPEHR"	"a"	1	"2"	"Control"	0.02020263671875	-57.3	-55.279736328125	c(537941.929348974, 1100973.86823061)
2011	"CiPEHR"	"a"	1	"3"	"Air Warming"	0.0826416015625	-60.7	-52.43583984375	c(537943.972994247, 1100971.12857398)
2011	"CiPEHR"	"a"	1	"4"	"Control"	0.10565185546875	-56	-45.434814453125	c(537946.01920041, 1100973.05621906)
2011	"CiPEHR"	"a"	1	"5"	"Air + Soil Warming"	-0.02752685546875	-64	-66.752685546875	c(537937.519279393, 1100984.41905301)
2011	"CiPEHR"	"a"	1	"6"	"Soil Warming"	0.03887939453125	-68	-64.112060546875	c(537940.038294997, 1100986.68937608)
2011	"CiPEHR"	"a"	1	"7"	"Air + Soil Warming"	-0.0107421875	-68.3	-69.37421875	c(537939.777848489, 1100988.59489566)
2011	"CiPEHR"	"a"	1	"8"	"Soil Warming"	-0.042236328125	-75	-79.2236328125	c(537934.397313723, 1100985.82019829)
2011	"CiPEHR"	"a"	2	"1"	"Air Warming"	0.0791015625	-53	-45.08984375	c(537955.754577999, 1100981.00632174)
2011	"CiPEHR"	"a"	2	"2"	"Control"	0.076171875	-59.3	-51.6828125	c(537950.650111753, 1100980.40484843)
2011	"CiPEHR"	"a"	2	"3"	"Air Warming"	0.05938720703125	-57	-51.061279296875	c(537952.547265501, 1100977.13753647)
2011	"CiPEHR"	"a"	2	"4"	"Control"	0.0726318359375	-59.3	-52.03681640625	c(537954.089235183, 1100978.60908617)
2011	"CiPEHR"	"a"	2	"5"	"Air + Soil Warming"	-0.0096435546875	-61	-61.96435546875	c(537948.749497949, 1100991.02155357)
2011	"CiPEHR"	"a"	2	"6"	"Soil Warming"	-0.0355224609375	-69.7	-73.25224609375	c(537951.036506826, 1100992.99910862)
2011	"CiPEHR"	"a"	2	"7"	"Air + Soil Warming"	-0.0516357421875	-65.3	-70.46357421875	c(537950.525723053, 1100994.79675347)
2011	"CiPEHR"	"a"	2	"8"	"Soil Warming"	-0.04376220703125	-72.7	-77.076220703125	c(537946.957231526, 1100993.20512038)
2011	"CiPEHR"	"b"	3	"1"	"Air Warming"	-0.05078125	-59.3	-64.378125	c(538005.299268935, 1101105.21851765)
2011	"CiPEHR"	"b"	3	"2"	"Control"	0.05792236328125	-56.7	-50.907763671875	c(538003.050355101, 1101103.56471526)
2011	"CiPEHR"	"b"	3	"3"	"Air Warming"	0.107177734375	-56.3	-45.5822265625	c(538004.461150603, 1101101.89084927)
2011	"CiPEHR"	"b"	3	"4"	"Control"	0.03729248046875	-59.3	-55.570751953125	c(538006.442928634, 1101103.70735623)
2011	"CiPEHR"	"b"	3	"5"	"Air + Soil Warming"	0.029541015625	-56	-53.0458984375	c(537998.353493803, 1101115.58373368)
2011	"CiPEHR"	"b"	3	"6"	"Soil Warming"	0.025634765625	-59	-56.4365234375	c(538000.689857765, 1101117.20427668)
2011	"CiPEHR"	"b"	3	"7"	"Air + Soil Warming"	0.025634765625	-53	-50.4365234375	c(537999.18546028, 1101118.87000626)
2011	"CiPEHR"	"b"	3	"8"	"Soil Warming"	0.03802490234375	-65.3	-61.497509765625	c(537996.682438232, 1101118.08261855)
2011	"CiPEHR"	"b"	4	"1"	"Air Warming"	-0.10260009765625	-56.7	-66.960009765625	c(538013.765519635, 1101118.29601026)
2011	"CiPEHR"	"b"	4	"2"	"Control"	0.03338623046875	-60.3	-56.961376953125	c(538010.139106492, 1101115.89741201)
2011	"CiPEHR"	"b"	4	"3"	"Air Warming"	0.0087890625	-57	-56.12109375	c(538011.381537863, 1101114.14523723)
2011	"CiPEHR"	"b"	4	"4"	"Control"	-0.06695556640625	-56.7	-63.395556640625	c(538014.718015708, 1101116.26857993)
2011	"CiPEHR"	"b"	4	"5"	"Air + Soil Warming"	-0.12518310546875	-59	-71.518310546875	c(538007.465860463, 1101125.65395105)
2011	"CiPEHR"	"b"	4	"6"	"Soil Warming"	-0.1068115234375	-53.7	-64.38115234375	c(538009.587437515, 1101127.56577935)
2011	"CiPEHR"	"b"	4	"7"	"Air + Soil Warming"	-0.17877197265625	-58	-75.877197265625	c(538007.857585791, 1101129.37453058)
2011	"CiPEHR"	"b"	4	"8"	"Soil Warming"	-0.10467529296875	-57.7	-68.167529296875	c(538006.242787725, 1101128.22987825)
2011	"CiPEHR"	"c"	5	"1"	"Air Warming"	-0.0096435546875	-54.7	-55.66435546875	c(538123.833788578, 1101029.12017965)
2011	"CiPEHR"	"c"	5	"2"	"Control"	-0.01824951171875	-49.7	-51.524951171875	c(538121.243627226, 1101027.11613051)
2011	"CiPEHR"	"c"	5	"3"	"Air Warming"	-0.06829833984375	-51.7	-58.529833984375	c(538123.12392811, 1101025.50355211)
2011	"CiPEHR"	"c"	5	"4"	"Control"	-0.01800537109375	-55	-56.800537109375	c(538125.030967066, 1101027.84379265)
2011	"CiPEHR"	"c"	5	"5"	"Air + Soil Warming"	-0.17999267578125	-58.7	-76.699267578125	c(538117.307977279, 1101039.86426493)
2011	"CiPEHR"	"c"	5	"6"	"Soil Warming"	-0.182861328125	-64.7	-82.9861328125	c(538119.083499313, 1101041.25538645)
2011	"CiPEHR"	"c"	5	"7"	"Air + Soil Warming"	-0.14654541015625	-53.3	-67.954541015625	c(538117.914903209, 1101043.33206615)
2011	"CiPEHR"	"c"	5	"8"	"Soil Warming"	-0.17376708984375	-56.3	-73.676708984375	c(538116.050667494, 1101042.33191631)
2011	"CiPEHR"	"c"	6	"1"	"Air Warming"	-0.06243896484375	-47	-53.243896484375	c(538135.096724586, 1101036.74136463)
2011	"CiPEHR"	"c"	6	"2"	"Control"	-0.07989501953125	-57.7	-65.689501953125	c(538131.96726414, 1101034.64109664)
2011	"CiPEHR"	"c"	6	"3"	"Air Warming"	-0.08831787109375	-60.3	-69.131787109375	c(538133.53420904, 1101033.12225322)
2011	"CiPEHR"	"c"	6	"4"	"Control"	-0.044677734375	-55.7	-60.1677734375	c(538136.223924323, 1101035.13959845)
2011	"CiPEHR"	"c"	6	"5"	"Air + Soil Warming"	-0.12835693359375	-61	-73.835693359375	c(538127.657255438, 1101046.69304944)
2011	"CiPEHR"	"c"	6	"6"	"Soil Warming"	-0.11187744140625	-56.7	-67.887744140625	c(538130.022999495, 1101048.47681978)
2011	"CiPEHR"	"c"	6	"7"	"Air + Soil Warming"	-0.14324951171875	-58	-72.324951171875	c(538128.884934097, 1101050.26204674)
2011	"CiPEHR"	"c"	6	"8"	"Soil Warming"	-0.17633056640625	-61	-78.633056640625	c(538125.579799737, 1101049.24051726)
2011	"DryPEHR"	"a"	1	"a"	"Control"	0	-57.3	-57.3	c(537941.929348974, 1100973.86823061)
2011	"DryPEHR"	"a"	1	"b"	"Drying"	0	-54.2	-54.2	c(537943.757754855, 1100968.02610383)
2011	"DryPEHR"	"a"	1	"c"	"Warming"	0	-68.3	-68.3	c(537936.554286654, 1100989.71518861)
2011	"DryPEHR"	"a"	1	"d"	"Drying + Warming"	0	-55.9	-55.9	c(537934.3180458, 1100988.89906236)
2011	"DryPEHR"	"a"	2	"a"	"Control"	0	-59.3	-59.3	c(537950.650111753, 1100980.40484843)
2011	"DryPEHR"	"a"	2	"b"	"Drying"	0	-59	-59	c(537956.454087259, 1100976.63359426)
2011	"DryPEHR"	"a"	2	"c"	"Warming"	0	-89	-89	c(537948.556510529, 1100996.42852332)
2011	"DryPEHR"	"a"	2	"d"	"Drying + Warming"	0	-62.7	-62.7	c(537946.583446615, 1100996.06893499)
2011	"DryPEHR"	"b"	3	"a"	"Control"	0	-56.7	-56.7	c(538003.050355101, 1101103.56471526)
2011	"DryPEHR"	"b"	3	"b"	"Drying"	0	-56.7	-56.7	c(537998.720505789, 1101105.86126043)
2011	"DryPEHR"	"b"	3	"c"	"Warming"	0	-58	-58	c(537996.481457292, 1101120.18205852)
2011	"DryPEHR"	"b"	3	"d"	"Drying + Warming"	0	-57.9	-57.9	c(537998.661221956, 1101121.24348623)
2011	"DryPEHR"	"b"	4	"a"	"Control"	0	-60.3	-60.3	c(538010.139106492, 1101115.89741201)
2011	"DryPEHR"	"b"	4	"b"	"Drying"	0	-60.8	-60.8	c(538015.157986813, 1101112.18877723)
2011	"DryPEHR"	"b"	4	"c"	"Warming"	0	-61.7	-61.7	c(538005.050264227, 1101129.55879632)
